id,danceability,energy,valence,cluster
4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,0.732,1
6v8mSl4GZXok3Ebe9x4Jmr,0.657,0.266,0.363,0
6FuGJB290AQMAHTfjOYVaK,0.721,0.745,0.699,1
1UY0MQyaZJA2DIsCfdL8xN,0.773,0.727,0.68,1
3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,0.531,2
5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,0.478,2
1syS1hdteqS5dRZezxN1Yg,0.776,0.758,0.776,1
2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,0.225,0
54aXi6EglPitfcES9CiIGj,0.638,0.342,0.749,3
1O9QBS7rTnMnxaUZN9GMbE,0.702,0.469,0.247,0
1As11cGpiSKQQbNwy43Vtp,0.718,0.118,0.361,0
3KkSs9PraljlrqfINVFkm0,0.721,0.745,0.699,1
5qJyxkcekkUAGbBieK6OE5,0.619,0.219,0.571,3
0tFxD8saPABnzyZeD5Li5I,0.76,0.593,0.801,1
0olOcc4XT3iLyhlzqPUugX,0.758,0.395,0.435,0
6TH02wXPuqj9HFzVpPRz7K,0.767,0.641,0.735,1
3z2UFcV5p4NNJkpsbDD8EK,0.622,0.675,0.915,1
25jVJTOQB2O2Z3OZnHpuDK,0.569,0.968,0.916,4
2nm8SX64kEcDRVu8oj04sG,0.614,0.395,0.144,0
3hgACTA1rtiZOjSCpPs9wN,0.731,0.313,0.235,0
2uWJcnBgQp5JQJXVXuz7Wt,0.701,0.768,0.435,2
5JtvedSVWW9McnoEAPJwQm,0.857,0.427,0.366,0
1DZLpZrsgPD8Zqjx9dPHmz,0.847,0.553,0.727,1
6lyliljaf7Ew7sp3uKkmmw,0.762,0.639,0.359,2
1FZfbt3X1fSdHyhscJ2jiz,0.71,0.873,0.784,4
7tnuKypmHBWvPIwpGUD01B,0.755,0.723,0.821,1
1d1ICMe7RvIDwTlTDk3X6y,0.739,0.377,0.585,3
5rZlwNFl01HqLWBQGryKSm,0.48,0.602,0.269,0
4bT2kkyaCQPVhaw9o3c55T,0.664,0.369,0.327,0
5VMhxHULk2LYc25dTqy4XA,0.7,0.938,0.789,4
7urvsL9x405UGJA8JO1dDA,0.751,0.723,0.854,1
2PeHKVIOZ4Tl97yZyHz1f9,0.813,0.674,0.576,2
6fu2fjARHA8iXrLzMNXKfD,0.696,0.946,0.782,4
5QAj9kZouI8eSwqDqtywNr,0.466,0.526,0.597,3
2v0H8Syth3TkzVwHoWuCul,0.733,0.587,0.881,1
2CQJcnC0XCRFcxKJNgLZmo,0.36,0.509,0.528,3
4rgXmH3XlmPZBqZodfLEHM,0.673,0.93,0.563,4
30m1Wyp7zzpOYsBqvM7gYM,0.652,0.591,0.627,2
4nJwvxJ7pVSWuLMSc2Mfky,0.812,0.673,0.548,2
0EtJzwmu8Egn4XV6VahzkY,0.544,0.214,0.585,3
6sOOMWU4Bu8wi0SeCpRD9A,0.768,0.785,0.678,1
4e0eMVsFHuNYWVb0MEYWKN,0.681,0.994,0.717,4
5fr3xdQBqrkeLAbMFoeG8v,0.617,0.942,0.773,4
0nEsLR5KTySCO9CfyC2yjg,0.669,0.452,0.279,0
6BiuoKkXZ2mHW2xvJGSgta,0.88,0.745,0.722,1
4k6yZRw7M04gZE2uW12Cw6,0.673,0.408,0.407,0
7dTIsyFZ6GFDRNxilprPXg,0.766,0.38,0.292,0
5OG2IfDyEPXQ9AaetZYCR9,0.715,0.8,0.619,1
2gwF8weF7bct9y2Zs4A4iO,0.46,0.441,0.328,0
4PKGaJPuXfespUVeXLBaA5,0.466,0.526,0.597,3
